,baker,season,round,outcome,eliminated,star baker,passed,favourite,least favourite,runner up,winner
300,Beca,4,3,Baker got through to the next round,False,False,True,False,False,False,False
301,Christine,4,3,Baker was the Star Baker,False,True,False,False,False,False,False
302,Glenn,4,3,Baker got through to the next round,False,False,True,False,False,False,False
303,Howard,4,3,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
304,Robert,4,3,Baker got through to the next round,False,False,True,False,False,False,False
305,Ali,4,3,Baker got through to the next round,False,False,True,False,False,False,False
306,Deborah,4,3,Baker was eliminated,True,False,False,False,False,False,False
307,Mark,4,3,Baker was eliminated,True,False,False,False,False,False,False
308,Lucy,4,3,out,False,False,False,False,False,False,False
309,Toby,4,3,out,False,False,False,False,False,False,False
310,Nancy,5,3,Baker got through to the next round.,False,False,True,False,False,False,False
311,Luis,5,3,Baker was the Star Baker.,False,True,False,False,False,False,False
312,Richard,5,3,Baker got through to the next round.,False,False,True,False,False,False,False
313,Chetna,5,3,Baker got through to the next round.,False,False,True,False,False,False,False
314,Martha,5,3,Baker got through to the next round.,False,False,True,False,False,False,False
315,Kate,5,3,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",False,False,False,True,False,False,False
316,Norman,5,3,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
317,Diana,5,3,Baker got through to the next round.,False,False,True,False,False,False,False
318,Iain,5,3,Baker got through to the next round.,False,False,True,False,False,False,False
319,Jordan,5,3,Baker was eliminated.,True,False,False,False,False,False,False
320,Enwezor,5,3,out,False,False,False,False,False,False,False
321,Claire,5,3,out,False,False,False,False,False,False,False
322,Jo,2,3, Baker got through to the next round,False,False,True,False,False,False,False
323,Holly,2,3, Baker got through to the next round,False,False,True,False,False,False,False
324,Mary-Anne,2,3," Baker was one of the judges' favourite bakers that week, but did not win star baker",False,False,False,True,False,False,False
325,Janet,2,3," Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
326,Yasmin,2,3, Baker was the Star Baker,False,True,False,False,False,False,False
327,Jason,2,3, Baker got through to the next round,False,False,True,False,False,False,False
328,Robert,2,3," Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
329,Ben,2,3, Baker got through to the next round,False,False,True,False,False,False,False
330,Ian,2,3, Baker was eliminated,True,False,False,False,False,False,False
331,Urvashi,2,3, Baker was eliminated,True,False,False,False,False,False,False
332,Simon,2,3,out,False,False,False,False,False,False,False
333,Keith,2,3,out,False,False,False,False,False,False,False
334,Candice,7,3,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
335,Andrew,7,3,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",False,False,False,True,False,False,False
336,Jane,7,3,Baker got through to the next round.,False,False,True,False,False,False,False
337,Selasi,7,3,Baker got through to the next round.,False,False,True,False,False,False,False
338,Benjamina,7,3,Baker got through to the next round.,False,False,True,False,False,False,False
339,Tom,7,3,Baker was the Star Baker.,False,True,False,False,False,False,False
340,Rav,7,3,Baker got through to the next round.,False,False,True,False,False,False,False
341,Val,7,3,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
342,Kate,7,3,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",False,False,False,True,False,False,False
343,Michael,7,3,Baker was eliminated.,True,False,False,False,False,False,False
344,Louise,7,3,out,False,False,False,False,False,False,False
345,Lee,7,3,out,False,False,False,False,False,False,False
346,Sophie,8,3,Baker got through to the next round.,False,False,True,False,False,False,False
347,Kate,8,3,Baker got through to the next round.,False,False,True,False,False,False,False
348,Steven,8,3,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",False,False,False,True,False,False,False
349,Stacey,8,3,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",False,False,False,True,False,False,False
350,Liam,8,3,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
351,Yan,8,3,Baker got through to the next round.,False,False,True,False,False,False,False
352,Julia,8,3,Baker was the Star Baker.,False,True,False,False,False,False,False
353,James,8,3,Baker got through to the next round.,False,False,True,False,False,False,False
354,Tom,8,3,Baker got through to the next round.,False,False,True,False,False,False,False
355,Flo,8,3,Baker was eliminated.,True,False,False,False,False,False,False
356,Chris,8,3,out,False,False,False,False,False,False,False
357,Peter,8,3,out,False,False,False,False,False,False,False
358,Edd,1,3, Baker was one of the judges' favourite bakers that week,False,False,False,False,False,False,False
359,Ruth,1,3, Baker was one of the judges' favourite bakers that week,False,False,False,False,False,False,False
360,Miranda,1,3, Baker got through to the next round,False,False,True,False,False,False,False
361,Jasminder,1,3," Baker was one of the judges' least favourite bakers that week, but was not eliminated",False,False,False,False,True,False,False
362,David,1,3," Baker was one of the judges' least favourite bakers that week, but was not eliminated",False,False,False,False,True,False,False
363,Jonathan,1,3, Baker was eliminated,True,False,False,False,False,False,False
364,Annetha,1,3,out,False,False,False,False,False,False,False
365,Louise,1,3,out,False,False,False,False,False,False,False
366,Lea,1,3,out,False,False,False,False,False,False,False
367,Mark,1,3,out,False,False,False,False,False,False,False
368,Nadiya,6,3,Baker got through to the next round.,False,False,True,False,False,False,False
369,Ian,6,3,Baker was the Star Baker.,False,True,False,False,False,False,False
370,Tamal,6,3,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",False,False,False,True,False,False,False
371,Flora,6,3,Baker got through to the next round.,False,False,True,False,False,False,False
372,Paul,6,3,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",False,False,False,True,False,False,False
373,Mat,6,3,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
374,Alvin,6,3,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",False,False,False,True,False,False,False
375,Ugnė,6,3,Baker got through to the next round.,False,False,True,False,False,False,False
376,Sandy,6,3,Baker got through to the next round.,False,False,True,False,False,False,False
377,Dorret,6,3,Baker was eliminated.,True,False,False,False,False,False,False
378,Marie,6,3,out,False,False,False,False,False,False,False
379,Stu,6,3,out,False,False,False,False,False,False,False
380,John,3,4, Baker got through to the next round,False,False,True,False,False,False,False
381,Brendan,3,4, Baker was the Star Baker,False,True,False,False,False,False,False
382,James,3,4, Baker got through to the next round,False,False,True,False,False,False,False
383,Danny,3,4," Baker was one of the judges' favourite bakers that week, but did not win star baker",False,False,False,True,False,False,False
384,Cathryn,3,4, Baker got through to the next round,False,False,True,False,False,False,False
385,Ryan,3,4," Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
386,Sarah-Jane,3,4, Baker got through to the next round,False,False,True,False,False,False,False
387,Manisha,3,4," Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
388,Stuart,3,4, Baker was eliminated,True,False,False,False,False,False,False
389,Victoria,3,4,out,False,False,False,False,False,False,False
390,Peter,3,4,out,False,False,False,False,False,False,False
391,Natasha,3,4,out,False,False,False,False,False,False,False
392,Frances,4,4,Baker got through to the next round,False,False,True,False,False,False,False
393,Kimberley,4,4,Baker was the Star Baker,False,True,False,False,False,False,False
394,Ruby,4,4,"Baker was one of the judges' favourite bakers that week, but did not win star baker.",False,False,False,True,False,False,False
395,Beca,4,4,Baker got through to the next round,False,False,True,False,False,False,False
396,Christine,4,4,Baker got through to the next round,False,False,True,False,False,False,False
397,Glenn,4,4,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
398,Howard,4,4,Baker got through to the next round,False,False,True,False,False,False,False
399,Robert,4,4,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
400,Ali,4,4,Baker was eliminated,True,False,False,False,False,False,False
401,Deborah,4,4,out,False,False,False,False,False,False,False
402,Mark,4,4,out,False,False,False,False,False,False,False
403,Lucy,4,4,out,False,False,False,False,False,False,False
404,Toby,4,4,out,False,False,False,False,False,False,False
405,Nancy,5,4,Baker got through to the next round.,False,False,True,False,False,False,False
406,Luis,5,4,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",False,False,False,True,False,False,False
407,Richard,5,4,Baker was the Star Baker.,False,True,False,False,False,False,False
408,Chetna,5,4,Baker got through to the next round.,False,False,True,False,False,False,False
409,Martha,5,4,Baker got through to the next round.,False,False,True,False,False,False,False
410,Kate,5,4,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",False,False,False,True,False,False,False
411,Norman,5,4,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
412,Diana,5,4,Baker got through to the next round.,False,False,True,False,False,False,False
413,Iain,5,4,Baker was eliminated.,True,False,False,False,False,False,False
414,Jordan,5,4,out,False,False,False,False,False,False,False
415,Enwezor,5,4,out,False,False,False,False,False,False,False
416,Claire,5,4,out,False,False,False,False,False,False,False
417,Jo,2,4, Baker got through to the next round,False,False,True,False,False,False,False
418,Holly,2,4, Baker was the Star Baker,False,True,False,False,False,False,False
419,Mary-Anne,2,4," Baker was one of the judges' favourite bakers that week, but did not win star baker",False,False,False,True,False,False,False
420,Janet,2,4, Baker got through to the next round,False,False,True,False,False,False,False
421,Yasmin,2,4," Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
422,Jason,2,4, Baker was the Star Baker,False,True,False,False,False,False,False
423,Robert,2,4, Baker got through to the next round,False,False,True,False,False,False,False
424,Ben,2,4, Baker was eliminated,True,False,False,False,False,False,False
425,Ian,2,4,out,False,False,False,False,False,False,False
426,Urvashi,2,4,out,False,False,False,False,False,False,False
427,Simon,2,4,out,False,False,False,False,False,False,False
428,Keith,2,4,out,False,False,False,False,False,False,False
429,Candice,7,4,Baker got through to the next round.,False,False,True,False,False,False,False
430,Andrew,7,4,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",False,False,False,True,False,False,False
431,Jane,7,4,Baker got through to the next round.,False,False,True,False,False,False,False
432,Selasi,7,4,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
433,Benjamina,7,4,Baker was the Star Baker.,False,True,False,False,False,False,False
434,Tom,7,4,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
435,Rav,7,4,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
436,Val,7,4,Baker got through to the next round.,False,False,True,False,False,False,False
437,Kate,7,4,Baker was eliminated.,True,False,False,False,False,False,False
438,Michael,7,4,out,False,False,False,False,False,False,False
439,Louise,7,4,out,False,False,False,False,False,False,False
440,Lee,7,4,out,False,False,False,False,False,False,False
441,Sophie,8,4,Baker got through to the next round.,False,False,True,False,False,False,False
442,Kate,8,4,Baker was the Star Baker.,False,True,False,False,False,False,False
443,Steven,8,4,Baker got through to the next round.,False,False,True,False,False,False,False
444,Stacey,8,4,Baker got through to the next round.,False,False,True,False,False,False,False
445,Liam,8,4,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",False,False,False,True,False,False,False
446,Yan,8,4,Baker got through to the next round.,False,False,True,False,False,False,False
447,Julia,8,4,Baker got through to the next round.,False,False,True,False,False,False,False
448,James,8,4,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
449,Tom,8,4,Baker was eliminated.,True,False,False,False,False,False,False
450,Flo,8,4,out,False,False,False,False,False,False,False
451,Chris,8,4,out,False,False,False,False,False,False,False
452,Peter,8,4,out,False,False,False,False,False,False,False
453,Edd,1,4," Baker was one of the judges' least favourite bakers that week, but was not eliminated",False,False,False,False,True,False,False
454,Ruth,1,4, Baker got through to the next round,False,False,True,False,False,False,False
455,Miranda,1,4, Baker was one of the judges' favourite bakers that week,False,False,False,False,False,False,False
456,Jasminder,1,4, Baker was one of the judges' favourite bakers that week,False,False,False,False,False,False,False
457,David,1,4, Baker was eliminated,True,False,False,False,False,False,False
458,Jonathan,1,4,out,False,False,False,False,False,False,False
459,Annetha,1,4,out,False,False,False,False,False,False,False
460,Louise,1,4,out,False,False,False,False,False,False,False
461,Lea,1,4,out,False,False,False,False,False,False,False
462,Mark,1,4,out,False,False,False,False,False,False,False
463,Nadiya,6,4,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",False,False,False,True,False,False,False
464,Ian,6,4,Baker was the Star Baker.,False,True,False,False,False,False,False
465,Tamal,6,4,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",False,False,False,True,False,False,False
466,Flora,6,4,Baker got through to the next round.,False,False,True,False,False,False,False
467,Paul,6,4,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
468,Mat,6,4,Baker got through to the next round.,False,False,True,False,False,False,False
469,Alvin,6,4,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
470,Ugnė,6,4,Baker got through to the next round.,False,False,True,False,False,False,False
471,Sandy,6,4,Baker was eliminated.,True,False,False,False,False,False,False
472,Dorret,6,4,out,False,False,False,False,False,False,False
473,Marie,6,4,out,False,False,False,False,False,False,False
474,Stu,6,4,out,False,False,False,False,False,False,False
475,John,3,5, Baker got through to the next round,False,False,True,False,False,False,False
476,Brendan,3,5," Baker was one of the judges' favourite bakers that week, but did not win star baker",False,False,False,True,False,False,False
477,James,3,5, Baker got through to the next round,False,False,True,False,False,False,False
478,Danny,3,5," Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
479,Cathryn,3,5, Baker got through to the next round,False,False,True,False,False,False,False
480,Ryan,3,5, Baker was the Star Baker,False,True,False,False,False,False,False
481,Sarah-Jane,3,5," Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
482,Manisha,3,5, Baker was eliminated,True,False,False,False,False,False,False
483,Stuart,3,5,out,False,False,False,False,False,False,False
484,Victoria,3,5,out,False,False,False,False,False,False,False
485,Peter,3,5,out,False,False,False,False,False,False,False
486,Natasha,3,5,out,False,False,False,False,False,False,False
487,Frances,4,5,Baker got through to the next round,False,False,True,False,False,False,False
488,Kimberley,4,5,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
489,Ruby,4,5,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
490,Beca,4,5,Baker got through to the next round,False,False,True,False,False,False,False
491,Christine,4,5,Baker was the Star Baker,False,True,False,False,False,False,False
492,Glenn,4,5,"Baker was one of the judges' favourite bakers that week, but did not win star baker.",False,False,False,True,False,False,False
493,Howard,4,5,Baker got through to the next round,False,False,True,False,False,False,False
494,Robert,4,5,Baker was eliminated,True,False,False,False,False,False,False
495,Ali,4,5,out,False,False,False,False,False,False,False
496,Deborah,4,5,out,False,False,False,False,False,False,False
497,Mark,4,5,out,False,False,False,False,False,False,False
498,Lucy,4,5,out,False,False,False,False,False,False,False
499,Toby,4,5,out,False,False,False,False,False,False,False
500,Nancy,5,5,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",False,False,False,True,False,False,False
501,Luis,5,5,Baker got through to the next round.,False,False,True,False,False,False,False
502,Richard,5,5,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
503,Chetna,5,5,Baker got through to the next round.,False,False,True,False,False,False,False
504,Martha,5,5,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
505,Kate,5,5,Baker was the Star Baker.,False,True,False,False,False,False,False
506,Norman,5,5,Baker was eliminated.,True,False,False,False,False,False,False
507,Diana,5,5,Baker withdrew from the show.,False,False,False,False,False,False,False
508,Iain,5,5,out,False,False,False,False,False,False,False
509,Jordan,5,5,out,False,False,False,False,False,False,False
510,Enwezor,5,5,out,False,False,False,False,False,False,False
511,Claire,5,5,out,False,False,False,False,False,False,False
512,Jo,2,5, Baker got through to the next round,False,False,True,False,False,False,False
513,Holly,2,5, Baker got through to the next round,False,False,True,False,False,False,False
514,Mary-Anne,2,5," Baker was one of the judges' favourite bakers that week, but did not win star baker",False,False,False,True,False,False,False
515,Janet,2,5, Baker was the Star Baker,False,True,False,False,False,False,False
516,Yasmin,2,5," Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
517,Jason,2,5, Baker was eliminated,True,False,False,False,False,False,False
518,Robert,2,5, Baker was eliminated,True,False,False,False,False,False,False
519,Ben,2,5,out,False,False,False,False,False,False,False
520,Ian,2,5,out,False,False,False,False,False,False,False
521,Urvashi,2,5,out,False,False,False,False,False,False,False
522,Simon,2,5,out,False,False,False,False,False,False,False
523,Keith,2,5,out,False,False,False,False,False,False,False
524,Candice,7,5,Baker was the Star Baker.,False,True,False,False,False,False,False
525,Andrew,7,5,Baker got through to the next round.,False,False,True,False,False,False,False
526,Jane,7,5,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",False,False,False,True,False,False,False
527,Selasi,7,5,Baker got through to the next round.,False,False,True,False,False,False,False
528,Benjamina,7,5,Baker got through to the next round.,False,False,True,False,False,False,False
529,Tom,7,5,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
530,Rav,7,5,Baker got through to the next round.,False,False,True,False,False,False,False
531,Val,7,5,Baker was eliminated.,True,False,False,False,False,False,False
532,Kate,7,5,out,False,False,False,False,False,False,False
533,Michael,7,5,out,False,False,False,False,False,False,False
534,Louise,7,5,out,False,False,False,False,False,False,False
535,Lee,7,5,out,False,False,False,False,False,False,False
536,Sophie,8,5,Baker was the Star Baker.,False,True,False,False,False,False,False
537,Kate,8,5,Baker got through to the next round.,False,False,True,False,False,False,False
538,Steven,8,5,Baker got through to the next round.,False,False,True,False,False,False,False
539,Stacey,8,5,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",False,False,False,True,False,False,False
540,Liam,8,5,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
541,Yan,8,5,Baker got through to the next round.,False,False,True,False,False,False,False
542,Julia,8,5,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
543,James,8,5,Baker was eliminated.,True,False,False,False,False,False,False
544,Tom,8,5,out,False,False,False,False,False,False,False
545,Flo,8,5,out,False,False,False,False,False,False,False
546,Chris,8,5,out,False,False,False,False,False,False,False
547,Peter,8,5,out,False,False,False,False,False,False,False
548,Edd,1,5, Baker was one of the judges' favourite bakers that week,False,False,False,False,False,False,False
549,Ruth,1,5, Baker was one of the judges' favourite bakers that week,False,False,False,False,False,False,False
550,Miranda,1,5," Baker was one of the judges' least favourite bakers that week, but was not eliminated",False,False,False,False,True,False,False
551,Jasminder,1,5, Baker was eliminated,True,False,False,False,False,False,False
552,David,1,5,out,False,False,False,False,False,False,False
553,Jonathan,1,5,out,False,False,False,False,False,False,False
554,Annetha,1,5,out,False,False,False,False,False,False,False
555,Louise,1,5,out,False,False,False,False,False,False,False
556,Lea,1,5,out,False,False,False,False,False,False,False
557,Mark,1,5,out,False,False,False,False,False,False,False
558,Nadiya,6,5,Baker was the Star Baker.,False,True,False,False,False,False,False
559,Ian,6,5,Baker got through to the next round.,False,False,True,False,False,False,False
560,Tamal,6,5,Baker got through to the next round.,False,False,True,False,False,False,False
561,Flora,6,5,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
562,Paul,6,5,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",False,False,False,True,False,False,False
563,Mat,6,5,Baker got through to the next round.,False,False,True,False,False,False,False
564,Alvin,6,5,Baker got through to the next round.,False,False,True,False,False,False,False
565,Ugnė,6,5,Baker was eliminated.,True,False,False,False,False,False,False
566,Sandy,6,5,out,False,False,False,False,False,False,False
567,Dorret,6,5,out,False,False,False,False,False,False,False
568,Marie,6,5,out,False,False,False,False,False,False,False
569,Stu,6,5,out,False,False,False,False,False,False,False
570,John,3,6," Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
571,Brendan,3,6, Baker was the Star Baker,False,True,False,False,False,False,False
572,James,3,6," Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
573,Danny,3,6," Baker was one of the judges' favourite bakers that week, but did not win star baker",False,False,False,True,False,False,False
574,Cathryn,3,6, Baker got through to the next round,False,False,True,False,False,False,False
575,Ryan,3,6, Baker got through to the next round,False,False,True,False,False,False,False
576,Sarah-Jane,3,6," Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
577,Manisha,3,6,out,False,False,False,False,False,False,False
578,Stuart,3,6,out,False,False,False,False,False,False,False
579,Victoria,3,6,out,False,False,False,False,False,False,False
580,Peter,3,6,out,False,False,False,False,False,False,False
581,Natasha,3,6,out,False,False,False,False,False,False,False
582,Frances,4,6,"Baker was one of the judges' favourite bakers that week, but did not win star baker.",False,False,False,True,False,False,False
583,Kimberley,4,6,Baker got through to the next round,False,False,True,False,False,False,False
584,Ruby,4,6,Baker was the Star Baker,False,True,False,False,False,False,False
585,Beca,4,6,Baker got through to the next round,False,False,True,False,False,False,False
586,Christine,4,6,Baker got through to the next round,False,False,True,False,False,False,False
587,Glenn,4,6,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
588,Howard,4,6,Baker was eliminated,True,False,False,False,False,False,False
589,Robert,4,6,out,False,False,False,False,False,False,False
590,Ali,4,6,out,False,False,False,False,False,False,False
591,Deborah,4,6,out,False,False,False,False,False,False,False
592,Mark,4,6,out,False,False,False,False,False,False,False
593,Lucy,4,6,out,False,False,False,False,False,False,False
594,Toby,4,6,out,False,False,False,False,False,False,False
595,Nancy,5,6,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",False,False,False,True,False,False,False
596,Luis,5,6,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",False,False,False,True,False,False,False
